pair_id,group,pitch,interval,rhythm,mode_infer,mode_ground,measures_infer,measures_ground,path_infer,path_ground
easy_easy_easy_Amin_00002,easy_easy_easy_Amin,easy,easy,easy,Amin,Amin,12,12,inference_wav/easy_easy_easy_Amin_12_20250828-231435_3.34_266.wav,ground_wav/easy_easy_easy_Amin_12_20250902-112746_0.00_145.wav
easy_easy_easy_Amin_00010,easy_easy_easy_Amin,easy,easy,easy,Amin,Amin,28,29,inference_wav/easy_easy_easy_Amin_28_20250828-231533_7.12_333.wav,ground_wav/easy_easy_easy_Amin_29_20250902-112806_0.00_2812.wav
easy_easy_easy_Amin_00017,easy_easy_easy_Amin,easy,easy,easy,Amin,Amin,16,16,inference_wav/easy_easy_easy_Amin_16_20250828-233918_4.18_2066.wav,ground_wav/easy_easy_easy_Amin_16_20250902-112804_0.00_2636.wav
easy_easy_easy_Amin_00019,easy_easy_easy_Amin,easy,easy,easy,Amin,Amin,8,8,inference_wav/easy_easy_easy_Amin_8_20250828-235010_2.32_2861.wav,ground_wav/easy_easy_easy_Amin_8_20250902-112755_0.00_1419.wav
easy_easy_easy_C_00028,easy_easy_easy_C,easy,easy,easy,C,C,8,8,inference_wav/easy_easy_easy_C_8_20250828-231344_2.60_203.wav,ground_wav/easy_easy_easy_C_8_20250902-112748_0.00_469.wav
easy_easy_easy_C_00032,easy_easy_easy_C,easy,easy,easy,C,C,16,16,inference_wav/easy_easy_easy_C_16_20250829-001313_4.22_4501.wav,ground_wav/easy_easy_easy_C_16_20250902-112753_0.00_1103.wav
easy_easy_easy_Dmin_00036,easy_easy_easy_Dmin,easy,easy,easy,Dmin,Dmin,8,8,inference_wav/easy_easy_easy_Dmin_8_20250829-001857_2.28_4927.wav,ground_wav/easy_easy_easy_Dmin_8_20250902-112755_0.00_1413.wav
easy_easy_easy_Dmin_00037,easy_easy_easy_Dmin,easy,easy,easy,Dmin,Dmin,12,12,inference_wav/easy_easy_easy_Dmin_12_20250828-232517_3.32_1022.wav,ground_wav/easy_easy_easy_Dmin_12_20250902-112754_0.00_1189.wav
easy_easy_easy_Dmin_00039,easy_easy_easy_Dmin,easy,easy,easy,Dmin,Dmin,28,25,inference_wav/easy_easy_easy_Dmin_28_20250828-232600_7.05_1077.wav,ground_wav/easy_easy_easy_Dmin_25_20250902-112804_0.00_2547.wav
easy_easy_easy_Dmin_00040,easy_easy_easy_Dmin,easy,easy,easy,Dmin,Dmin,8,8,inference_wav/easy_easy_easy_Dmin_8_20250828-231801_2.74_510.wav,ground_wav/easy_easy_easy_Dmin_8_20250902-112800_0.00_2141.wav
easy_easy_easy_Dmin_00044,easy_easy_easy_Dmin,easy,easy,easy,Dmin,Dmin,12,16,inference_wav/easy_easy_easy_Dmin_12_20250828-233914_3.30_2062.wav,ground_wav/easy_easy_easy_Dmin_16_20250902-112758_0.00_1776.wav
easy_easy_easy_Dmin_00048,easy_easy_easy_Dmin,easy,easy,easy,Dmin,Dmin,16,16,inference_wav/easy_easy_easy_Dmin_16_20250828-231759_4.16_507.wav,ground_wav/easy_easy_easy_Dmin_16_20250902-112756_0.00_1541.wav
easy_easy_easy_Emin_00053,easy_easy_easy_Emin,easy,easy,easy,Emin,Emin,12,16,inference_wav/easy_easy_easy_Emin_12_20250828-234954_3.30_2837.wav,ground_wav/easy_easy_easy_Emin_16_20250902-112752_0.00_994.wav
easy_easy_easy_Emin_00054,easy_easy_easy_Emin,easy,easy,easy,Emin,Emin,20,21,inference_wav/easy_easy_easy_Emin_20_20250828-233321_5.03_1619.wav,ground_wav/easy_easy_easy_Emin_21_20250902-112749_0.00_534.wav
easy_easy_easy_Emin_00062,easy_easy_easy_Emin,easy,easy,easy,Emin,Emin,12,8,inference_wav/easy_easy_easy_Emin_12_20250829-002633_3.05_5464.wav,ground_wav/easy_easy_easy_Emin_8_20250902-112759_0.00_1983.wav
easy_easy_easy_F_00071,easy_easy_easy_F,easy,easy,easy,F,F,8,8,inference_wav/easy_easy_easy_F_8_20250828-234425_2.29_2439.wav,ground_wav/easy_easy_easy_F_8_20250902-112747_0.00_318.wav
easy_easy_easy_G_00081,easy_easy_easy_G,easy,easy,easy,G,G,20,20,inference_wav/easy_easy_easy_G_20_20250828-233657_5.38_1890.wav,ground_wav/easy_easy_easy_G_20_20250902-112759_0.00_1871.wav
easy_easy_easy_G_00085,easy_easy_easy_G,easy,easy,easy,G,G,12,12,inference_wav/easy_easy_easy_G_12_20250829-000704_3.11_4062.wav,ground_wav/easy_easy_easy_G_12_20250902-112752_0.00_1018.wav
easy_easy_easy_G_00087,easy_easy_easy_G,easy,easy,easy,G,G,16,16,inference_wav/easy_easy_easy_G_16_20250828-233252_4.16_1583.wav,ground_wav/easy_easy_easy_G_16_20250902-112803_0.00_2444.wav
easy_easy_hard_Amin_00101,easy_easy_hard_Amin,easy,easy,hard,Amin,Amin,24,28,inference_wav/easy_easy_hard_Amin_24_20250829-000829_6.27_4162.wav,ground_wav/easy_easy_hard_Amin_28_20250902-112751_0.00_875.wav
easy_easy_hard_C_00107,easy_easy_hard_C,easy,easy,hard,C,C,20,20,inference_wav/easy_easy_hard_C_20_20250829-002312_5.45_5227.wav,ground_wav/easy_easy_hard_C_20_20250902-112801_0.00_2194.wav
easy_easy_hard_C_00109,easy_easy_hard_C,easy,easy,hard,C,C,12,10,inference_wav/easy_easy_hard_C_12_20250828-233347_3.24_1653.wav,ground_wav/easy_easy_hard_C_10_20250902-112757_0.00_1583.wav
easy_easy_hard_C_00111,easy_easy_hard_C,easy,easy,hard,C,C,16,16,inference_wav/easy_easy_hard_C_16_20250829-003650_3.72_6000.wav,ground_wav/easy_easy_hard_C_16_20250902-112803_0.00_2498.wav
easy_easy_hard_C_00113,easy_easy_hard_C,easy,easy,hard,C,C,16,16,inference_wav/easy_easy_hard_C_16_20250829-003110_4.40_5784.wav,ground_wav/easy_easy_hard_C_16_20250902-112747_0.00_260.wav
easy_easy_hard_C_00114,easy_easy_hard_C,easy,easy,hard,C,C,24,20,inference_wav/easy_easy_hard_C_24_20250828-233823_5.88_2000.wav,ground_wav/easy_easy_hard_C_20_20250902-112757_0.00_1694.wav
easy_easy_hard_C_00117,easy_easy_hard_C,easy,easy,hard,C,C,20,16,inference_wav/easy_easy_hard_C_20_20250828-231905_5.03_586.wav,ground_wav/easy_easy_hard_C_16_20250902-112802_0.00_2300.wav
easy_easy_hard_C_00120,easy_easy_hard_C,easy,easy,hard,C,C,12,8,inference_wav/easy_easy_hard_C_12_20250828-233357_3.18_1666.wav,ground_wav/easy_easy_hard_C_8_20250902-112759_0.00_1969.wav
easy_easy_hard_Dmin_00121,easy_easy_hard_Dmin,easy,easy,hard,Dmin,Dmin,16,17,inference_wav/easy_easy_hard_Dmin_16_20250828-234152_4.35_2252.wav,ground_wav/easy_easy_hard_Dmin_17_20250902-112756_0.00_1464.wav
easy_easy_hard_F_00137,easy_easy_hard_F,easy,easy,hard,F,F,20,19,inference_wav/easy_easy_hard_F_20_20250828-233432_4.98_1710.wav,ground_wav/easy_easy_hard_F_19_20250902-112750_0.00_670.wav
easy_easy_hard_F_00138,easy_easy_hard_F,easy,easy,hard,F,F,20,17,inference_wav/easy_easy_hard_F_20_20250828-233712_5.07_1910.wav,ground_wav/easy_easy_hard_F_17_20250902-112757_0.00_1603.wav
easy_easy_hard_G_00145,easy_easy_hard_G,easy,easy,hard,G,G,12,8,inference_wav/easy_easy_hard_G_12_20250828-234721_3.38_2648.wav,ground_wav/easy_easy_hard_G_8_20250902-112747_0.00_294.wav
easy_easy_medium_Amin_00155,easy_easy_medium_Amin,easy,easy,medium,Amin,Amin,20,16,inference_wav/easy_easy_medium_Amin_20_20250828-234832_4.99_2730.wav,ground_wav/easy_easy_medium_Amin_16_20250902-112803_0.00_2415.wav
easy_easy_medium_Amin_00160,easy_easy_medium_Amin,easy,easy,medium,Amin,Amin,8,8,inference_wav/easy_easy_medium_Amin_8_20250828-233023_2.30_1397.wav,ground_wav/easy_easy_medium_Amin_8_20250902-112750_0.00_678.wav
easy_easy_medium_C_00166,easy_easy_medium_C,easy,easy,medium,C,C,12,10,inference_wav/easy_easy_medium_C_12_20250828-232345_3.19_913.wav,ground_wav/easy_easy_medium_C_10_20250902-112758_0.00_1705.wav
easy_easy_medium_C_00168,easy_easy_medium_C,easy,easy,medium,C,C,12,14,inference_wav/easy_easy_medium_C_12_20250828-232132_3.41_759.wav,ground_wav/easy_easy_medium_C_14_20250902-112757_0.00_1667.wav
easy_easy_medium_C_00171,easy_easy_medium_C,easy,easy,medium,C,C,16,16,inference_wav/easy_easy_medium_C_16_20250828-231051_3.99_2.wav,ground_wav/easy_easy_medium_C_16_20250902-112749_0.00_528.wav
easy_easy_medium_C_00172,easy_easy_medium_C,easy,easy,medium,C,C,28,32,inference_wav/easy_easy_medium_C_28_20250828-231304_6.75_158.wav,ground_wav/easy_easy_medium_C_32_20250902-112801_0.00_2182.wav
easy_easy_medium_C_00184,easy_easy_medium_C,easy,easy,medium,C,C,16,16,inference_wav/easy_easy_medium_C_16_20250829-001630_4.01_4743.wav,ground_wav/easy_easy_medium_C_16_20250902-112746_0.00_136.wav
easy_easy_medium_C_00187,easy_easy_medium_C,easy,easy,medium,C,C,8,8,inference_wav/easy_easy_medium_C_8_20250828-232533_2.42_1042.wav,ground_wav/easy_easy_medium_C_8_20250902-112758_0.00_1758.wav
easy_easy_medium_Dmin_00190,easy_easy_medium_Dmin,easy,easy,medium,Dmin,Dmin,16,13,inference_wav/easy_easy_medium_Dmin_16_20250829-000510_4.33_3933.wav,ground_wav/easy_easy_medium_Dmin_13_20250902-112750_0.00_732.wav
easy_easy_medium_F_00204,easy_easy_medium_F,easy,easy,medium,F,F,28,26,inference_wav/easy_easy_medium_F_28_20250828-233905_6.71_2050.wav,ground_wav/easy_easy_medium_F_26_20250902-112744_0.00_6.wav
easy_easy_medium_F_00205,easy_easy_medium_F,easy,easy,medium,F,F,16,16,inference_wav/easy_easy_medium_F_16_20250828-235629_3.93_3313.wav,ground_wav/easy_easy_medium_F_16_20250902-112800_0.00_2032.wav
easy_easy_medium_F_00206,easy_easy_medium_F,easy,easy,medium,F,F,12,12,inference_wav/easy_easy_medium_F_12_20250828-232853_3.29_1285.wav,ground_wav/easy_easy_medium_F_12_20250902-112753_0.00_1105.wav
easy_easy_medium_F_00207,easy_easy_medium_F,easy,easy,medium,F,F,8,8,inference_wav/easy_easy_medium_F_8_20250828-233253_2.42_1584.wav,ground_wav/easy_easy_medium_F_8_20250902-112746_0.00_156.wav
easy_easy_medium_F_00212,easy_easy_medium_F,easy,easy,medium,F,F,16,16,inference_wav/easy_easy_medium_F_16_20250828-234416_4.29_2429.wav,ground_wav/easy_easy_medium_F_16_20250902-112752_0.00_1047.wav
easy_easy_medium_G_00215,easy_easy_medium_G,easy,easy,medium,G,G,12,12,inference_wav/easy_easy_medium_G_12_20250829-001516_2.97_4655.wav,ground_wav/easy_easy_medium_G_12_20250902-112803_0.00_2517.wav
easy_easy_medium_G_00217,easy_easy_medium_G,easy,easy,medium,G,G,28,24,inference_wav/easy_easy_medium_G_28_20250829-002423_6.77_5313.wav,ground_wav/easy_easy_medium_G_24_20250902-112803_0.00_2402.wav
easy_easy_medium_G_00218,easy_easy_medium_G,easy,easy,medium,G,G,28,24,inference_wav/easy_easy_medium_G_28_20250828-233841_6.73_2020.wav,ground_wav/easy_easy_medium_G_24_20250902-112749_0.00_525.wav
easy_easy_medium_G_00219,easy_easy_medium_G,easy,easy,medium,G,G,12,10,inference_wav/easy_easy_medium_G_12_20250829-002506_3.17_5364.wav,ground_wav/easy_easy_medium_G_10_20250902-112746_0.00_172.wav
easy_hard_easy_Amin_00221,easy_hard_easy_Amin,easy,hard,easy,Amin,Amin,8,8,inference_wav/easy_hard_easy_Amin_8_20250829-005830_2.66_7479.wav,ground_wav/easy_hard_easy_Amin_8_20250902-112800_0.00_2042.wav
easy_hard_easy_Amin_00222,easy_hard_easy_Amin,easy,hard,easy,Amin,Amin,16,16,inference_wav/easy_hard_easy_Amin_16_20250829-004702_4.14_6694.wav,ground_wav/easy_hard_easy_Amin_16_20250902-112747_0.00_315.wav
easy_hard_easy_Amin_00225,easy_hard_easy_Amin,easy,hard,easy,Amin,Amin,12,10,inference_wav/easy_hard_easy_Amin_12_20250829-010507_3.25_7945.wav,ground_wav/easy_hard_easy_Amin_10_20250902-112745_0.00_59.wav
easy_hard_easy_Amin_00226,easy_hard_easy_Amin,easy,hard,easy,Amin,Amin,16,16,inference_wav/easy_hard_easy_Amin_16_20250829-010827_4.19_8178.wav,ground_wav/easy_hard_easy_Amin_16_20250902-112757_0.00_1590.wav
easy_hard_easy_C_00228,easy_hard_easy_C,easy,hard,easy,C,C,12,11,inference_wav/easy_hard_easy_C_12_20250829-004837_3.10_6802.wav,ground_wav/easy_hard_easy_C_11_20250902-112754_0.00_1206.wav
easy_hard_easy_C_00229,easy_hard_easy_C,easy,hard,easy,C,C,12,14,inference_wav/easy_hard_easy_C_12_20250829-015743_3.39_11618.wav,ground_wav/easy_hard_easy_C_14_20250902-112748_0.00_427.wav
easy_hard_easy_Dmin_00235,easy_hard_easy_Dmin,easy,hard,easy,Dmin,Dmin,28,24,inference_wav/easy_hard_easy_Dmin_28_20250829-004935_6.85_6864.wav,ground_wav/easy_hard_easy_Dmin_24_20250902-112804_0.00_2630.wav
easy_hard_easy_Dmin_00238,easy_hard_easy_Dmin,easy,hard,easy,Dmin,Dmin,8,8,inference_wav/easy_hard_easy_Dmin_8_20250829-011815_2.65_8872.wav,ground_wav/easy_hard_easy_Dmin_8_20250902-112759_0.00_1991.wav
easy_hard_easy_Emin_00241,easy_hard_easy_Emin,easy,hard,easy,Emin,Emin,8,8,inference_wav/easy_hard_easy_Emin_8_20250829-013116_2.51_9779.wav,ground_wav/easy_hard_easy_Emin_8_20250902-112801_0.00_2152.wav
easy_hard_easy_Emin_00244,easy_hard_easy_Emin,easy,hard,easy,Emin,Emin,12,8,inference_wav/easy_hard_easy_Emin_12_20250829-020002_3.33_11787.wav,ground_wav/easy_hard_easy_Emin_8_20250902-112746_0.00_177.wav
easy_hard_easy_F_00247,easy_hard_easy_F,easy,hard,easy,F,F,8,8,inference_wav/easy_hard_easy_F_8_20250829-004428_2.34_6512.wav,ground_wav/easy_hard_easy_F_8_20250902-112803_0.00_2482.wav
easy_hard_easy_F_00251,easy_hard_easy_F,easy,hard,easy,F,F,28,29,inference_wav/easy_hard_easy_F_28_20250829-005200_6.82_7023.wav,ground_wav/easy_hard_easy_F_29_20250902-112755_0.00_1461.wav
